"row","col","value"
"0470 L5 NP CTX Glut_4","005 L5 IT CTX Glut",0
"0497 Vip Gaba_1","005 L5 IT CTX Glut",0
"0513 Vip Gaba_3","005 L5 IT CTX Glut",0
"0514 Vip Gaba_3","005 L5 IT CTX Glut",0
"0516 Vip Gaba_3","005 L5 IT CTX Glut",0
"0522 Vip Gaba_4","005 L5 IT CTX Glut",0
"0527 Vip Gaba_5","005 L5 IT CTX Glut",0
"0529 Vip Gaba_5","005 L5 IT CTX Glut",0
"0533 Vip Gaba_6","005 L5 IT CTX Glut",0
"0547 Sncg Gaba_6","005 L5 IT CTX Glut",0
"0553 Sncg Gaba_3","005 L5 IT CTX Glut",0
"0560 Sncg Gaba_4","005 L5 IT CTX Glut",0
"0580 Lamp5 Gaba_1","005 L5 IT CTX Glut",0
"0581 Lamp5 Gaba_1","005 L5 IT CTX Glut",0
"0582 Lamp5 Gaba_1","005 L5 IT CTX Glut",0
"0587 Lamp5 Gaba_2","005 L5 IT CTX Glut",0
"0605 Pvalb chandelier Gaba","005 L5 IT CTX Glut",0
"0607 Pvalb Gaba_1","005 L5 IT CTX Glut",0
"0618 Pvalb Gaba_3","005 L5 IT CTX Glut",0
"0619 Pvalb Gaba_3","005 L5 IT CTX Glut",0
"0621 Pvalb Gaba_3","005 L5 IT CTX Glut",0
"0620 Pvalb Gaba_8","005 L5 IT CTX Glut",0
"0624 Pvalb Gaba_4","005 L5 IT CTX Glut",0
"0628 Pvalb Gaba_4","005 L5 IT CTX Glut",0
"0625 Pvalb Gaba_5","005 L5 IT CTX Glut",0
"0638 Sst Gaba_1","005 L5 IT CTX Glut",0
"0641 Sst Gaba_12","005 L5 IT CTX Glut",0
"0631 Sst Gaba_13","005 L5 IT CTX Glut",0
"0664 Sst Gaba_4","005 L5 IT CTX Glut",0
"0666 Sst Gaba_4","005 L5 IT CTX Glut",0
"0668 Sst Gaba_4","005 L5 IT CTX Glut",0
"0669 Sst Gaba_4","005 L5 IT CTX Glut",0
"0665 Sst Gaba_11","005 L5 IT CTX Glut",0
"0675 Sst Gaba_5","005 L5 IT CTX Glut",0
"0677 Sst Gaba_5","005 L5 IT CTX Glut",0
"0673 Sst Gaba_16","005 L5 IT CTX Glut",0
"0688 Sst Gaba_7","005 L5 IT CTX Glut",0
"0697 Sst Gaba_8","005 L5 IT CTX Glut",0
"0695 Sst Gaba_10","005 L5 IT CTX Glut",0
"0731 Sst Chodl Gaba_4","005 L5 IT CTX Glut",0
"5113 Astro-TE NN_3","005 L5 IT CTX Glut",0
"5146 OPC NN_1","005 L5 IT CTX Glut",0
"5150 COP NN","005 L5 IT CTX Glut",0
"5152 COP NN","005 L5 IT CTX Glut",0
"5155 MFOL NN","005 L5 IT CTX Glut",0
"5158 MOL NN","005 L5 IT CTX Glut",0
