"row","col","value"
"046 Sst Chodl Gaba","0056 L5 IT CTX Glut_1",0
"287 Astro-TE NN","0056 L5 IT CTX Glut_1",0
"294 OPC NN","0056 L5 IT CTX Glut_1",0
"295 Oligo NN","0056 L5 IT CTX Glut_1",0
"299 Peri NN","0056 L5 IT CTX Glut_1",0
"301 Endo NN","0056 L5 IT CTX Glut_1",0
"302 Microglia NN","0056 L5 IT CTX Glut_1",0
"001 Car3 Glut","0061 L5 IT CTX Glut_3",0
"003 L5/6 IT TPE-ENT Glut","0061 L5 IT CTX Glut_3",0
"004 L6 IT CTX Glut","0061 L5 IT CTX Glut_3",0
"005 L5 IT CTX Glut","0061 L5 IT CTX Glut_3",0
"006 L4/5 IT CTX Glut","0061 L5 IT CTX Glut_3",0
"007 L2/3 IT CTX Glut","0061 L5 IT CTX Glut_3",0
"022 L5 ET CTX Glut","0061 L5 IT CTX Glut_3",0
"027 L6b CTX Glut","0061 L5 IT CTX Glut_3",0
"028 L6 CT CTX Glut","0061 L5 IT CTX Glut_3",0
"030 L5 NP CTX Glut","0061 L5 IT CTX Glut_3",0
"036 Vip Gaba","0061 L5 IT CTX Glut_3",0
"037 Sncg Gaba","0061 L5 IT CTX Glut_3",0
"039 Lamp5 Gaba","0061 L5 IT CTX Glut_3",0
"041 Pvalb chandelier Gaba","0061 L5 IT CTX Glut_3",0
"042 Pvalb Gaba","0061 L5 IT CTX Glut_3",0
"043 Sst Gaba","0061 L5 IT CTX Glut_3",0
"046 Sst Chodl Gaba","0061 L5 IT CTX Glut_3",0
"287 Astro-TE NN","0061 L5 IT CTX Glut_3",0
"294 OPC NN","0061 L5 IT CTX Glut_3",0
"295 Oligo NN","0061 L5 IT CTX Glut_3",0
"299 Peri NN","0061 L5 IT CTX Glut_3",0
"301 Endo NN","0061 L5 IT CTX Glut_3",0
"302 Microglia NN","0061 L5 IT CTX Glut_3",0
"001 Car3 Glut","0065 L5 IT CTX Glut_5",0
"003 L5/6 IT TPE-ENT Glut","0065 L5 IT CTX Glut_5",0.220164609053498
"004 L6 IT CTX Glut","0065 L5 IT CTX Glut_5",0.00542635658914729
"005 L5 IT CTX Glut","0065 L5 IT CTX Glut_5",0.222358722358722
"006 L4/5 IT CTX Glut","0065 L5 IT CTX Glut_5",0.00210692652093758
"007 L2/3 IT CTX Glut","0065 L5 IT CTX Glut_5",0
"022 L5 ET CTX Glut","0065 L5 IT CTX Glut_5",0
"027 L6b CTX Glut","0065 L5 IT CTX Glut_5",0
"028 L6 CT CTX Glut","0065 L5 IT CTX Glut_5",0
"030 L5 NP CTX Glut","0065 L5 IT CTX Glut_5",0.000890471950133571
"036 Vip Gaba","0065 L5 IT CTX Glut_5",0
"037 Sncg Gaba","0065 L5 IT CTX Glut_5",0
"039 Lamp5 Gaba","0065 L5 IT CTX Glut_5",0
"041 Pvalb chandelier Gaba","0065 L5 IT CTX Glut_5",0
"042 Pvalb Gaba","0065 L5 IT CTX Glut_5",0
"043 Sst Gaba","0065 L5 IT CTX Glut_5",0
"046 Sst Chodl Gaba","0065 L5 IT CTX Glut_5",0
"287 Astro-TE NN","0065 L5 IT CTX Glut_5",0
"294 OPC NN","0065 L5 IT CTX Glut_5",0
"295 Oligo NN","0065 L5 IT CTX Glut_5",0
"299 Peri NN","0065 L5 IT CTX Glut_5",0
"301 Endo NN","0065 L5 IT CTX Glut_5",0
